Calendar	avoikoi	avsettlements	avcoastsettl	avinlandsettl	avelevation	avtradeflow	avtradedistance	avmigrations	avecultivated	RAI
1169	128,6	21	4,066666667	16,9	617,0183209	107,1034483	50,76524956	3,814814815	2,585273611	0,827675847
1168	127	20,83870968	4,066666667	16,76666667	611,2078773	107,5862069	51,81077335	4	2,595334162	0,743636367
1167	126,2666667	20,58064516	4	16,6	610,2407498	106	52,20110713	3,703703704	2,594091848	0,659596886
1166	125,4333333	20,38709677	3,8	16,6	610,8095313	105,2068966	51,66183493	3,814814815	2,600415934	0,911715327
1165	124,1666667	20,32258065	3,666666667	16,66666667	612,9534769	104,4482759	51,06983775	3,037037037	2,597998596	0,869695587
1164	123,3666667	20,4516129	3,766666667	16,7	613,1046363	104,5517241	51,12417712	4,037037037	2,587550266	0,785656107
1163	123,6	20,38709677	3,833333333	16,56666667	607,6446031	102,862069	50,95231621	4,185185185	2,588915042	0,743636367
1162	123,1666667	20,35483871	3,833333333	16,53333333	610,4530273	102,4482759	51,95805541	4,407407407	2,586859339	0,743636367
1161	122,8	20,12903226	3,633333333	16,5	609,5815158	102,0689655	51,82906751	4,296296296	2,591306372	0,701616627
1160	122,6666667	20	3,533333333	16,46666667	611,6357241	101,3448276	51,2426357	4,074074074	2,593216624	0,659596886
1159	122,5	20,12903226	3,666666667	16,46666667	610,6645462	102,9310345	51,61442401	3,814814815	2,590859503	0,617577146
1158	121,7666667	19,90322581	3,633333333	16,26666667	613,6937284	104,2068966	52,5871809	4,333333333	2,596551119	0,533537666
1157	120,7666667	19,93548387	3,533333333	16,4	616,7027359	102,4482759	51,59185946	4,259259259	2,595917573	0,491517926
1156	119,6666667	19,87096774	3,5	16,36666667	614,3713695	102,1724138	50,6723032	4,407407407	2,598093894	0,449498186
1155	119,6666667	19,93548387	3,533333333	16,4	611,3212902	102,7586207	50,77352311	3,962962963	2,595134905	0,365458706
1154	119	19,80645161	3,5	16,3	611,0221824	103,2068966	51,21416573	3,296296296	2,596702745	0,323438966
